,Index of title,Title,Data,Question
30,5.1.1,General,Top management shall demonstrate leadership and commitment with respect to the quality management system by promoting the use of the process approach and risk-based thinking,Does top management demonstrate leadership and commitment with respect to the quality management system by promoting the use of the process approach and risk-based thinking?
31,5.1.1,General,Top management shall demonstrate leadership and commitment with respect to the quality management system by ensuring that the resources needed for the quality management system are available,Does top management demonstrate leadership and commitment with respect to the quality management system by ensuring that the resources needed for the quality management system are available?
32,5.1.1,General,Top management shall demonstrate leadership and commitment with respect to the quality management system by communicating the importance of effective quality management and of conforming to the quality management system requirements,Does top management demonstrate leadership and commitment with respect to the quality management system by communicating the importance of effective quality management and of conforming to the quality management system requirements?
33,5.1.1,General,Top management shall demonstrate leadership and commitment with respect to the quality management system by ensuring that the quality management system achieves its intended results,Does top management demonstrate leadership and commitment with respect to the quality management system by ensuring that the quality management system achieves its intended results?
34,5.1.1,General,"Top management shall demonstrate leadership and commitment with respect to the quality management system by engaging, directing and supporting persons to contribute to the effectiveness of the quality management system",Does top management demonstrate leadership and commitment with respect to the quality management system by engaging directing and supporting persons to contribute to the effectiveness of the quality management system?
35,5.1.1,General,Top management shall demonstrate leadership and commitment with respect to the quality management system by promoting improvement,Does top management demonstrate leadership and commitment with respect to the quality management system by promoting improvement?
36,5.1.1,General,Top management shall demonstrate leadership and commitment with respect to the quality management system by supporting other relevant management roles to demonstrate their leadership as it applies to their areas of responsibility.,Does top management demonstrate leadership and commitment with respect to the quality management system by supporting other relevant management roles to demonstrate their leadership as it applies to their areas of responsibility?
37,5.1.2,Customer focus,"Top management shall demonstrate leadership and commitment with respect to customer focus by ensuring that customer and applicable statutory and regulatory requirements are determined, understood and consistently met",Does top management demonstrate leadership and commitment with respect to customer focus by ensuring that customer and applicable statutory and regulatory requirements are determined understood and consistently met?
38,5.1.2,Customer focus,Top management shall demonstrate leadership and commitment with respect to customer focus by ensuring that the risks and opportunities that can affect conformity of products and services and the ability to enhance customer satisfaction are determined and addressed,Does top management demonstrate leadership and commitment with respect to customer focus by ensuring that the risks and opportunities that can affect conformity of products and services and the ability to enhance customer satisfaction are determined and addressed?
39,5.1.2,Customer focus,Top management shall demonstrate leadership and commitment with respect to customer focus by ensuring that the focus on enhancing customer satisfaction is maintained.,Does top management demonstrate leadership and commitment with respect to customer focus by ensuring that the focus on enhancing customer satisfaction is maintained?
40,5.2,Policy,,
41,5.2.1,Establishing the quality policy,"Top management shall establish, implement and maintain a quality policy that is appropriate to the purpose and context of the organization and supports its strategic direction",Does top management establish implement and maintain a quality policy that is appropriate to the purpose and context of the organization and supports its strategic direction?
42,5.2.1,Establishing the quality policy,"Top management shall establish, implement and maintain a quality policy that provides a framework for setting quality objectives",Does top management establish implement and maintain a quality policy that provides a framework for setting quality objectives?
43,5.2.1,Establishing the quality policy,"Top management shall establish, implement and maintain a quality policy that includes a commitment to satisfy applicable requirements",Does top management establish implement and maintain a quality policy that includes a commitment to satisfy applicable requirements?
44,5.2.1,Establishing the quality policy,"Top management shall establish, implement and maintain a quality policy that includes a commitment to continual improvement of the quality management system.",Does top management establish implement and maintain a quality policy that includes a commitment to continual improvement of the quality management system?
45,5.2.2,Communicating the quality policy,The quality policy shall be available and be maintained as documented information,Does the quality policy be available and be maintained as documented information?
46,5.2.2,Communicating the quality policy,"The quality policy shall be communicated, understood and applied within the organization",Does the quality policy be communicated understood and applied within the organization?
47,5.2.2,Communicating the quality policy,"The quality policy shall be available to relevant interested parties, as appropriate.",Does the quality policy be available to relevant interested parties as appropriate?
48,5.3,"Organizational roles, responsibilities and authorities",Top management shall assign the responsibility and authority for ensuring that the quality management system conforms to the requirements of this International Standard,Does top management assign the responsibility and authority for ensuring that the quality management system conforms to the requirements of this international standard?
49,5.3,"Organizational roles, responsibilities and authorities",Top management shall assign the responsibility and authority for ensuring that the processes are delivering their intended outputs,Does top management assign the responsibility and authority for ensuring that the processes are delivering their intended outputs?
50,5.3,"Organizational roles, responsibilities and authorities","Top management shall assign the responsibility and authority for reporting on the performance of the quality management system and on opportunities for improvement (see 10.1 ), in particular to top management",Does top management assign the responsibility and authority for reporting on the performance of the quality management system and on opportunities for improvement (see 10.1 ) in particular to top management?
51,5.3,"Organizational roles, responsibilities and authorities",Top management shall assign the responsibility and authority for ensuring the promotion of customer focus throughout the organization,Does top management assign the responsibility and authority for ensuring the promotion of customer focus throughout the organization?
52,5.3,"Organizational roles, responsibilities and authorities",Top management shall assign the responsibility and authority for ensuring that the integrity of the quality management system is maintained when changes to the quality management system are planned and implemented.,Does top management assign the responsibility and authority for ensuring that the integrity of the quality management system is maintained when changes to the quality management system are planned and implemented?
53,5.3,"Organizational roles, responsibilities and authorities","Top management shall ensure that the responsibilities and authorities for relevant roles are assigned, communicated and understood within the organization.",Does top management ensure that the responsibilities and authorities for relevant roles are assigned communicated and understood within the organization?
54,6,Planning,,
55,6.1,Actions to address risks and opportunities,"When planning for the quality management system, the organization shall consider the issues referred to in   and the requirements referred to in   and determine the risks and opportunities that need to be addressed to give assurance that the quality management system can achieve its intended result(s)",Does the organization consider the issues referred to in   and the requirements referred to in   and determine the risks and opportunities that need to be addressed to give assurance that the quality management system can achieve its intended result(s) when planning for the quality management system?
56,6.1,Actions to address risks and opportunities,"When planning for the quality management system, the organization shall consider the issues referred to in   and the requirements referred to in   and determine the risks and opportunities that need to be addressed to enhance desirable effects",Does the organization consider the issues referred to in   and the requirements referred to in   and determine the risks and opportunities that need to be addressed to enhance desirable effects when planning for the quality management system?
57,6.1,Actions to address risks and opportunities,"When planning for the quality management system, the organization shall consider the issues referred to in   and the requirements referred to in   and determine the risks and opportunities that need to be addressed to prevent, or reduce, undesired effects",Does the organization consider the issues referred to in   and the requirements referred to in   and determine the risks and opportunities that need to be addressed to prevent or reduce undesired effects when planning for the quality management system?
58,6.1,Actions to address risks and opportunities,"When planning for the quality management system, the organization shall consider the issues referred to in   and the requirements referred to in   and determine the risks and opportunities that need to be addressed to achieve improvement.",Does the organization consider the issues referred to in   and the requirements referred to in   and determine the risks and opportunities that need to be addressed to achieve improvement when planning for the quality management system?
59,6.1,Actions to address risks and opportunities,The organization shall plan actions to address these risks and opportunities,Does the organization plan actions to address these risks and opportunities?
60,6.1,Actions to address risks and opportunities,The organization shall plan how to,Does the organization plan how to?
61,6.1,Actions to address risks and opportunities,The organization shall plan integrate and implement the actions into its quality management system processes (see 4.4 ),Does the organization plan integrate and implement the actions into its quality management system processes (see 4.4 )?
62,6.1,Actions to address risks and opportunities,The organization shall plan evaluate the effectiveness of these actions.,Does the organization plan evaluate the effectiveness of these actions?
63,6.1,Actions to address risks and opportunities,Actions taken to address risks and opportunities shall be proportionate to the potential impact on the conformity of products and services.,Does the organization be proportionate to the potential impact on the conformity of products and services actions taken to address risks and opportunities?
64,6.2,Quality objectives and planning to achieve them,"When planning how to achieve its quality objectives, the organization shall determine what will be done",Does the organization determine what will be done when planning how to achieve its quality objectives?
65,6.2,Quality objectives and planning to achieve them,"When planning how to achieve its quality objectives, the organization shall determine what resources will be required",Does the organization determine what resources will be required when planning how to achieve its quality objectives?
66,6.2,Quality objectives and planning to achieve them,"When planning how to achieve its quality objectives, the organization shall determine who will be responsible",Does the organization determine who will be responsible when planning how to achieve its quality objectives?
67,6.2,Quality objectives and planning to achieve them,"When planning how to achieve its quality objectives, the organization shall determine when it will be completed",Does the organization determine when it will be completed when planning how to achieve its quality objectives?
68,6.2,Quality objectives and planning to achieve them,"When planning how to achieve its quality objectives, the organization shall determine how the results will be evaluated.",Does the organization determine how the results will be evaluated when planning how to achieve its quality objectives?
69,6.2,Quality objectives and planning to achieve them,"  The organization shall establish quality objectives at relevant functions, levels and processes needed for the quality management system.",Does the organization establish quality objectives at relevant functions levels and processes needed for the quality management system?
70,6.2,Quality objectives and planning to achieve them,The quality objectives shall be consistent with the quality policy,Does the quality objectives be consistent with the quality policy?
71,6.2,Quality objectives and planning to achieve them,The quality objectives shall be measurable,Does the quality objectives be measurable?
72,6.2,Quality objectives and planning to achieve them,The quality objectives shall take into account applicable requirements,Does the quality objectives take into account applicable requirements?
73,6.2,Quality objectives and planning to achieve them,The quality objectives shall be relevant to conformity of products and services and to enhancement of customer satisfaction,Does the quality objectives be relevant to conformity of products and services and to enhancement of customer satisfaction?
74,6.2,Quality objectives and planning to achieve them,The quality objectives shall be monitored,Does the quality objectives be monitored?
75,6.2,Quality objectives and planning to achieve them,The quality objectives shall be communicated,Does the quality objectives be communicated?
76,6.2,Quality objectives and planning to achieve them,The quality objectives shall be updated as appropriate.,Does the quality objectives be updated as appropriate?
77,6.2,Quality objectives and planning to achieve them,The organization shall maintain documented information on the quality objectives.,Does the organization maintain documented information on the quality objectives?
78,6.3,Planning of changes,The organization shall consider the purpose of the changes and their potential consequences,Does the organization consider the purpose of the changes and their potential consequences?
79,6.3,Planning of changes,The organization shall consider the integrity of the quality management system,Does the organization consider the integrity of the quality management system?
80,6.3,Planning of changes,The organization shall consider the availability of resources,Does the organization consider the availability of resources?
81,6.3,Planning of changes,The organization shall consider the allocation or reallocation of responsibilities and authorities.,Does the organization consider the allocation or reallocation of responsibilities and authorities?
82,6.3,Planning of changes,"When the organization determines the need for changes to the quality management system, the changes shall be carried out in a planned manner (see 4.4 ).",Does the organization be carried out in a planned manner (see 4.4 ) when  determines the need for changes to the quality management system the changes?
83,7,Support,,
84,7.1,Resources,,
85,7.1.1,General,"The organization shall determine and provide the resources needed for the establishment, implementation, maintenance and continual improvement of the quality management system.",Does the organization determine and provide the resources needed for the establishment implementation maintenance and continual improvement of the quality management system?
86,7.1.1,General,"The organization shall consider the capabilities of, and constraints on, existing internal resources",Does the organization consider the capabilities of and constraints on existing internal resources?
87,7.1.1,General,The organization shall consider what needs to be obtained from external providers.,Does the organization consider what needs to be obtained from external providers?
88,7.1.2,People,The organization shall determine and provide the persons necessary for the effective implementation of its quality management system and for the operation and control of its processes.,Does the organization determine and provide the persons necessary for the effective implementation of its quality management system and for the operation and control of its processes?
89,7.1.3,Infrastructure,"The organization shall determine, provide and maintain the infrastructure necessary for the operation of its processes and to achieve conformity of products and services.",Does the organization determine provide and maintain the infrastructure necessary for the operation of its processes and to achieve conformity of products and services?
90,7.1.4,Environment for the operation of processes,"The organization shall determine, provide and maintain the environment necessary for the operation of its processes and to achieve conformity of products and services.",Does the organization determine provide and maintain the environment necessary for the operation of its processes and to achieve conformity of products and services?
91,7.1.5,Monitoring and measuring resources,,
92,7.1.5.1,General,The organization shall determine and provide the resources needed to ensure valid and reliable results when monitoring or measuring is used to verify the conformity of products and services to requirements.,Does the organization determine and provide the resources needed to ensure valid and reliable results when monitoring or measuring is used to verify the conformity of products and services to requirements?
93,7.1.5.1,General,The organization shall ensure that the resources provided are suitable for the specific type of monitoring and measurement activities being undertaken,Does the organization ensure that the resources provided are suitable for the specific type of monitoring and measurement activities being undertaken?
94,7.1.5.1,General,The organization shall ensure that the resources provided are maintained to ensure their continuing fitness for their purpose.,Does the organization ensure that the resources provided are maintained to ensure their continuing fitness for their purpose?
95,7.1.5.1,General,The organization shall retain appropriate documented information as evidence of fitness for purpose of the monitoring and measurement resources.,Does the organization retain appropriate documented information as evidence of fitness for purpose of the monitoring and measurement resources?
96,7.1.5.2,Measurement traceability,"The organization shall determine if the validity of previous measurement results has been adversely affected when measuring equipment is found to be unfit for its intended purpose, and shall take appropriate action as necessary.",Does the organization determine if the validity of previous measurement results has been adversely affected when measuring equipment is found to be unfit for its intended purpose and  take appropriate action as necessary?
97,7.1.5.2,Measurement traceability,"When measurement traceability is a requirement, or is considered by the organization to be an essential part of providing confidence in the validity of measurement results, measuring equipment shall be calibrated or verified, or both, at specified intervals, or prior to use, against measurement standards traceable to international or national measurement standards; when no such standards exist, the basis used for calibration or verification shall be retained as documented information",Is when measurement traceability is a requirement or is considered by the organization to be an essential part of providing confidence in the validity of measurement results measuring equipment shall be calibrated or verified or both at specified intervals or prior to use against measurement standards traceable to international or national measurement standards; when no such standards exist the basis used for calibration or verification shall be retained as documented information true?
98,7.1.5.2,Measurement traceability,"When measurement traceability is a requirement, or is considered by the organization to be an essential part of providing confidence in the validity of measurement results, measuring equipment shall be identified in order to determine their status",Is when measurement traceability is a requirement or is considered by the organization to be an essential part of providing confidence in the validity of measurement results measuring equipment shall be identified in order to determine their status true?
99,7.1.5.2,Measurement traceability,"When measurement traceability is a requirement, or is considered by the organization to be an essential part of providing confidence in the validity of measurement results, measuring equipment shall be safeguarded from adjustments, damage or deterioration that would invalidate the calibration status and subsequent measurement results.",Is when measurement traceability is a requirement or is considered by the organization to be an essential part of providing confidence in the validity of measurement results measuring equipment shall be safeguarded from adjustments damage or deterioration that would invalidate the calibration status and subsequent measurement results true?
100,7.1.6,Organizational knowledge,The organization shall determine the knowledge necessary for the operation of its processes and to achieve conformity of products and services.,Does the organization determine the knowledge necessary for the operation of its processes and to achieve conformity of products and services?
101,7.1.6,Organizational knowledge,"This knowledge shall be maintained and be made available to the extent necessary.When addressing changing needs and trends, the organization shall consider its current knowledge and determine how to acquire or access any necessary additional knowledge and required updates.",Does this knowledge be maintained and be made available to the extent necessary when addressing changing needs and trends the organization  consider its current knowledge and determine how to acquire or access any necessary additional knowledge and required updates?
102,7.2,Competence,The organization shall determine the necessary competence of person(s) doing work under its control that affects the performance and effectiveness of the quality management system,Does the organization determine the necessary competence of person(s) doing work under its control that affects the performance and effectiveness of the quality management system?
103,7.2,Competence,"The organization shall ensure that these persons are competent on the basis of appropriate education, training, or experience",Does the organization ensure that these persons are competent on the basis of appropriate education training or experience?
104,7.2,Competence,"The organization shall where applicable, take actions to acquire the necessary competence, and evaluate the effectiveness of the actions taken",Does the organization where applicable take actions to acquire the necessary competence and evaluate the effectiveness of the actions taken?
105,7.2,Competence,The organization shall retain appropriate documented information as evidence of competence.,Does the organization retain appropriate documented information as evidence of competence?
106,7.3,Awareness,The organization shall ensure that persons doing work under the organization’s control are aware of the quality policy,Does the organization ensure that persons doing work under the organizations control are aware of the quality policy?
107,7.3,Awareness,The organization shall ensure that persons doing work under the organization’s control are aware of relevant quality objectives,Does the organization ensure that persons doing work under the organizations control are aware of relevant quality objectives?
108,7.3,Awareness,"The organization shall ensure that persons doing work under the organization’s control are aware of their contribution to the effectiveness of the quality management system, including the benefits of improved performance",Does the organization ensure that persons doing work under the organizations control are aware of their contribution to the effectiveness of the quality management system including the benefits of improved performance?
109,7.3,Awareness,The organization shall ensure that persons doing work under the organization’s control are aware of the implications of not conforming with the quality management system requirements.,Does the organization ensure that persons doing work under the organizations control are aware of the implications of not conforming with the quality management system requirements?
110,7.4,Communication,"The organization shall determine the internal and external communications relevant to the quality management system, including on what it will communicate",Does the organization determine the internal and external communications relevant to the quality management system including on what it will communicate?
111,7.4,Communication,"The organization shall determine the internal and external communications relevant to the quality management system, including when to communicate",Does the organization determine the internal and external communications relevant to the quality management system including when to communicate?
112,7.4,Communication,"The organization shall determine the internal and external communications relevant to the quality management system, including with whom to communicate",Does the organization determine the internal and external communications relevant to the quality management system including with whom to communicate?
113,7.4,Communication,"The organization shall determine the internal and external communications relevant to the quality management system, including how to communicate",Does the organization determine the internal and external communications relevant to the quality management system including how to communicate?
114,7.4,Communication,"The organization shall determine the internal and external communications relevant to the quality management system, including who communicates.",Does the organization determine the internal and external communications relevant to the quality management system including who communicates?
115,7.5,Documented information,,
116,7.5.1,General,The organization’s quality management system shall include documented information required by this International Standard,Does the organizations quality management system include documented information required by this international standard?
117,7.5.1,General,The organization’s quality management system shall include documented information determined by the organization as being necessary for the effectiveness of the quality management system.,Does the organizations quality management system include documented information determined by the organization as being necessary for the effectiveness of the quality management system?
118,7.5.2,Creating and updating,"When creating and updating documented information, the organization shall ensure appropriate identification and description (example: a title, date, author, or reference number)",Does the organization ensure appropriate identification and description (example: a title date author or reference number) when creating and updating documented information?
119,7.5.2,Creating and updating,"When creating and updating documented information, the organization shall ensure appropriate format (example: language, software version, graphics) and media (example: paper, electronic)",Does the organization ensure appropriate format (example: language software version graphics) and media (example: paper electronic) when creating and updating documented information?
120,7.5.2,Creating and updating,"When creating and updating documented information, the organization shall ensure appropriate review and approval for suitability and adequacy.",Does the organization ensure appropriate review and approval for suitability and adequacy when creating and updating documented information?
121,7.5.3,Control of documented information,"For the control of documented information, the organization shall address the following activities, as applicable distribution, access, retrieval and use",Does the organization address the following activities as applicable distribution access retrieval and use for the control of documented information?
122,7.5.3,Control of documented information,"For the control of documented information, the organization shall address the following activities, as applicable storage and preservation, including preservation of legibility",Does the organization address the following activities as applicable storage and preservation including preservation of legibility for the control of documented information?
123,7.5.3,Control of documented information,"For the control of documented information, the organization shall address the following activities, as applicable control of changes (example: version control)",Does the organization address the following activities as applicable control of changes (example: version control) for the control of documented information?
124,7.5.3,Control of documented information,"For the control of documented information, the organization shall address the following activities, as applicable retention and disposition.",Does the organization address the following activities as applicable retention and disposition for the control of documented information?
125,7.5.3,Control of documented information,Documented information retained as evidence of conformity shall be protected from unintended alterations.,Does documented information retained as evidence of conformity be protected from unintended alterations?
126,7.5.3,Control of documented information,"Documented information of external origin determined by the organization to be necessary for the planning and operation of the quality management system shall be identified as appropriate, and be controlled.",Does documented information of external origin determined by  to be necessary for the planning and operation of the quality management system be identified as appropriate and be controlled?
127,7.5.3,Control of documented information,"Documented information required by the quality management system and by this International Standard shall be controlled to ensure it is available and suitable for use, where and when it is needed",Does documented information required by the quality management system and by this international standard be controlled to ensure it is available and suitable for use where and when it is needed?
128,7.5.3,Control of documented information,"Documented information required by the quality management system and by this International Standard shall be controlled to ensure it is adequately protected (example: from loss of confidentiality, improper use, or loss of integrity).",Does documented information required by the quality management system and by this international standard be controlled to ensure it is adequately protected (example: from loss of confidentiality improper use or loss of integrity)?
129,8,Operation,,
130,8.1,Operational planning and control,"The organization shall control planned changes and review the consequences of unintended changes, taking action to mitigate any adverse effects, as necessary.",Does the organization control planned changes and review the consequences of unintended changes taking action to mitigate any adverse effects as necessary?
131,8.1,Operational planning and control,The organization shall ensure that outsourced processes are controlled (see 8.4 ).,Does the organization ensure that outsourced processes are controlled (see 8.4 )?
132,8.1,Operational planning and control,The output of this planning shall be suitable for the organization’s operations.,Does the organization be suitable for the organizations operations the output of this planning?
133,8.1,Operational planning and control,"The organization shall plan, implement and control the processes (see 4.4) needed to meet the requirements for the provision of products and services, and to implement the actions determined in Clause 6, by determining the requirements for the products and services",Does the organization plan implement and control the processes (see 4.4) needed to meet the requirements for the provision of products and services and to implement the actions determined in clause 6 by determining the requirements for the products and services?
134,8.1,Operational planning and control,"The organization shall plan, implement and control the processes (see 4.4) needed to meet the requirements for the provision of products and services, and to implement the actions determined in Clause 6, by establishing criteria for",Does the organization plan implement and control the processes (see 4.4) needed to meet the requirements for the provision of products and services and to implement the actions determined in clause 6 by establishing criteria for?
135,8.1,Operational planning and control,"The organization shall plan, implement and control the processes (see 4.4) needed to meet the requirements for the provision of products and services, and to implement the actions determined in Clause 6, by the processes",Does the organization plan implement and control the processes (see 4.4) needed to meet the requirements for the provision of products and services and to implement the actions determined in clause 6 by the processes?
136,8.1,Operational planning and control,"The organization shall plan, implement and control the processes (see 4.4) needed to meet the requirements for the provision of products and services, and to implement the actions determined in Clause 6, by the acceptance of products and services",Does the organization plan implement and control the processes (see 4.4) needed to meet the requirements for the provision of products and services and to implement the actions determined in clause 6 by the acceptance of products and services?
137,8.1,Operational planning and control,"The organization shall plan, implement and control the processes (see 4.4) needed to meet the requirements for the provision of products and services, and to implement the actions determined in Clause 6, by determining the resources needed to achieve conformity to the product and service requirements",Does the organization plan implement and control the processes (see 4.4) needed to meet the requirements for the provision of products and services and to implement the actions determined in clause 6 by determining the resources needed to achieve conformity to the product and service requirements?
138,8.1,Operational planning and control,"The organization shall plan, implement and control the processes (see 4.4) needed to meet the requirements for the provision of products and services, and to implement the actions determined in Clause 6, by implementing control of the processes in accordance with the criteria",Does the organization plan implement and control the processes (see 4.4) needed to meet the requirements for the provision of products and services and to implement the actions determined in clause 6 by implementing control of the processes in accordance with the criteria?
139,8.1,Operational planning and control,"The organization shall plan, implement and control the processes (see 4.4) needed to meet the requirements for the provision of products and services, and to implement the actions determined in Clause 6, by determining, maintaining and retaining documented information to the extent necessary",Does the organization plan implement and control the processes (see 4.4) needed to meet the requirements for the provision of products and services and to implement the actions determined in clause 6 by determining maintaining and retaining documented information to the extent necessary?
140,8.1,Operational planning and control,"The organization shall plan, implement and control the processes (see 4.4) needed to meet the requirements for the provision of products and services, and to implement the actions determined in Clause 6, by to have confidence that the processes have been carried out as planned",Does the organization plan implement and control the processes (see 4.4) needed to meet the requirements for the provision of products and services and to implement the actions determined in clause 6 by to have confidence that the processes have been carried out as planned?
141,8.1,Operational planning and control,"The organization shall plan, implement and control the processes (see 4.4) needed to meet the requirements for the provision of products and services, and to implement the actions determined in Clause 6, by to demonstrate the conformity of products and services to their requirements.",Does the organization plan implement and control the processes (see 4.4) needed to meet the requirements for the provision of products and services and to implement the actions determined in clause 6 by to demonstrate the conformity of products and services to their requirements?
142,8.2,Requirements for products and services,,
143,8.2.1,Customer communication,Communication with customers shall include providing information relating to products and services,Does communication with customers include providing information relating to products and services?
144,8.2.1,Customer communication,"Communication with customers shall include handling enquiries, contracts or orders, including changes",Does communication with customers include handling enquiries contracts or orders including changes?
145,8.2.1,Customer communication,"Communication with customers shall include obtaining customer feedback relating to products and services, including customer complaints",Does communication with customers include obtaining customer feedback relating to products and services including customer complaints?
146,8.2.1,Customer communication,Communication with customers shall include handling or controlling customer property,Does communication with customers include handling or controlling customer property?
